//인첸트스크립트_all		//조합코드:index값							아이템참조		7245마야보석1레벨_Drop						조합 비용												
//최종수정자:정동일		//아이템종류:0:무기1:방어구							4201필미스톤		7246마야보석2레벨						1~6 100%가 1:1												
//Version	0.0.0.9	//최소아이템레벨:인첸트가일어나는최소아이템레벨(아이템스크립트LV파라미터값비교)							4202오버미스톤		7247마야보석3레벨						7인챈 이상은 50%가 1:1												
//작성일	오후 4:51 2009-02-13	//최대아이템레벨:인첸트가일어나는최대아이템레벨(아이템스크립트LV파라미터값비교)							4203스트렝스스톤		7248마야보석4레벨_Cash																		
//									4701프로텍션크리스탈		7249마야금속1레벨_Drop																		
//									4702샤이닝크리스탈		7250마야금속2레벨																		
//									4204메가미스톤		7251마야금속3레벨																		
//									4703유니크리스탈		7252마야금속4레벨_Cash					//테스트를 위한 가 데이터										//현재 인챈트 착용 요구치 공식 : INT(인챈트 급수 / ( 3 - (아이템 레벨 / 6 ) ) + 1 )			
//																	"//(100%조합*상수 값)으로 계산하며, 소수점 첫 째 자리에서 반올림한 정수 값으로 출력."									사용여부			
//					  MONEY EnchantFare = (rTargetSlot.GetPriceForBuy()*rTargetSlot.GetItemInfo()->m_LV)												//소수점 3째 자리까지 입력 가능(ex. 0.001)									0. 사용안함			
//																										1. 사용함			
//1.1																													
//추가 버전															816		816						816			816			
//설명	조합코드	아이템종류	아이템레벨	인첸트등급	인첸트재료1	인첸트재료1개수	인첸트재료2	인첸트재료2개수	인첸트재료3	인첸트재료3개수	인첸트재료4	인첸트재료4개수	인첸트재료5	인첸트재료5개수	100%재료	필요하임배율	75%재료	필요하임배율	50%재료	필요하임배율	25%재료	필요하임배율	사용여부	다운확률	다운레벨	사용여부	착용요구치상승폭		
	bCode	bItemType	bItemLV	bEnchant	wMaterial1	wMaterial1Num	wMaterial2	wMaterial2Num	wMaterial3	wMaterial3Num	wMaterial4	wMaterial4Num	wMaterial5	wMaterial5Num	HaimFare1	MaterialFare1	HaimFare2	MaterialFare2	HaimFare3	MaterialFare3	HaimFare4	MaterialFare4	bDownGrade	byDownPer	byDownLV	bLimitRatio	dLimitRatio	FieldEnd	
//일반 아이템 인챈트 그룹_무기																													
	1	0	1	1	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+1인첸트할때필요재료
	2	0	1	2	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+2인첸트할때필요재료
	3	0	1	3	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+3인첸트할때필요재료
	4	0	1	4	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+4인첸트할때필요재료
	5	0	1	5	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.67		//+5인첸트할때필요재료
	6	0	1	6	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.75		//+6인첸트할때필요재료
	7	0	1	7	4201	1	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	10	1	1	0.6		//+7인첸트할때필요재료
	8	0	1	8	4201	2	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	20	1	1	0.4		//+8인첸트할때필요재료
	9	0	1	9	4201	4	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	30	1	1	0.2		//+9인첸트할때필요재료
	10	0	1	10	4201	8	4701	1	4702	1	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	40	1	1	-0.3		//+10인첸트할때필요재료
	11	0	1	11	4201	16	4701	2	4702	2	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	50	1	1	-0.5		//+11인첸트할때필요재료
	12	0	1	12	4201	32	4701	4	4702	4	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	100	1	1	-0.9		//+12인첸트할때필요재료
