//경험치 스크립트_Ch				
//최종작성자 	정동일			
//수정일자	오후 3:00 2008-08-27			
//Version	1.0.0.8			
	bLv	dExpValue	FieldEnd	
	1	0		
	2	45		
	3	120		
	4	258		
	5	466		
	6	804		
	7	1308		
	8	2100		
	9	3269		
	10	5075		
	11	7539		
	12	11177		
	13	16280		
	14	23154		
	15	33043		
	16	46722		
	17	66126		
	18	93446		
	19	131687		
	20	180033		
	21	235069		
	22	297339		
	23	367268		
	24	445311		
	25	531857		
	26	626137		
	27	728227		
	28	838138		
	29	954190		
	30	1075890		
	31	1202613		
	32	1349696		
	33	1518444		
	34	1710268		
	35	1926631		
	36	2168984		
	37	2438874		
	38	2737807		
	39	3067430		
	40	3429404		
	41	3825407		
	42	4257203		
	43	4726515		
	44	5235222		
	45	5785120		
	46	6378158		
	47	7016277		
	48	7701547		
	49	8435945		
	50	9221497		
	51	10060378		
	52	10954757		
	53	11906910		
	54	12919001		
	55	13993426		
	56	15132394		
	57	16338442		
	58	17613848		
	59	18961101		
	60	20382784		
	61	21881462		
	62	23459648		
	63	25120116		
	64	26865434		
	65	28698485		
	66	30621809		
	67	32638437		
	68	34751158		
	69	36962884		
	70	39440017		
	71	42214406		
	72	45321722		
	73	48801916		
	74	52699733		
	75	57377113		
	76	62615779		
	77	68483085		
	78	75054467		
	79	82414416		
	80	91246354	//	18.53512767
	81	101138125	//	38.93950219
	82	112216908	//	31.72973922
	83	124625145	//	27.13095724
	84	138522371	//	23.92815675
	85	155199042	//	21.55946921
	86	173876913	//	19.7295755
	87	194796129	//	18.26807859
	88	218225651	//	17.07018047
	89	244466715	//	16.01420026
	90	275955992	//	15.22519072
	91	311223983	//	14.71509361
	92	350724132	//	14.53840863
	93	394964299	//	14.7809569
	94	445398090	//	15.54780329
	95	503396950	//	16.93305794
	96	570095638	//	18.96679661
	97	646799129	//	21.55011131
	98	738843319	//	24.41497921
	99	853898556	//	27.15674843
	100	1003470365	//	4%
	101	1155027618	//	4.40%
	102	1328409115	//	4.80%
	103	1525874878	//	5.20%
	104	1750064342	//	5.60%
	105	2004053758	//	6.00%
	106	2291424641	//	6.40%
	107	2616345319	//	6.80%
	108	2983668145	//	7.20%
	109	3399045440	//	7.60%
	110	3869067926	//	8.00%
	111	4401430236	//	8.40%
	112	5005129096	//	8.80%
	113	5690701021	//	9.20%
	114	6470507922	//	9.60%
	115	7359080934	//	10.00%
	116	8373535123	//	10.30%
	117	9522911719	//	10.60%
	118	10827599222	//	10.90%
	119	12311422781	//	11.20%
	120	14002273760	//	11.50%
	121	15932863251	//	11.80%
	122	18141625508	//	12.10%
	123	20673802969	//	12.40%
	124	23582751696	//	12.70%
	125	26931514702	//	13.00%
	126	30794721537	//	13.30%
	127	35260885808	//	13.60%
	128	40435188968	//	13.90%
	129	46442859307	//	14.20%
	130	53433280784	//	14.50%
	131	61821786556		
	132	74404545215		
	133	97053510800		
	134	142351441971		
	135	278245235484		
