//결정화스크립트_Kr			//	Code	조합코드값										LuckyItemType	
//최종수정자:이정환			//	Name	기획작업용 Name											
//			//	sDisplayText				인터페이스 상에 창 명칭을 보여주고자 할때 사용								
//			//	wItemType				아이템 종류 값 명시								
//			//	wLevel				"아이템 스크립트의 레벨 값 ( 악세서리, 특수 악세서리, 재료의 경우 1: 하급 2: 상급 으로 구분)"								
//Version	 1.0.0.5		//					0 이면 아이템 스크립트 레벨값 참조 안함								
//작성일	오후 2:08 2008-07-02		//	mat1Ratio	mat1 이 분해되어 나올 확률											
//			//	mat1	분해되어나오는 결정체 아이템코드											
//			//	matno1	기본 개수 (분해시 제공되는 기본개수)											
//			//	mat1Money	추가 지급 개수에서 사용되는 값   (아이템상점가격/Mat1Moeny)											
//			//	wRandom1Ratio  : 분해 중에 랜덤하게 아이템이 생성되는 확률 개수												
//			//	wRandomStandard			: 분해 중에 랜덤하게 아이템이 생성될 때 기준 개수 (100만)									
//			//	wRandom1	분해중에 랜덤하게 아이템이 생성되는 아이템 코드											
//1.1			//	wRandomNo1 	분해중에 랜덤하게 생성되는 아이템의 개수											
//						0905 추가									0905 엘리트 방어구용 수치값 2 추가	
//설명	조합코드	이름				인챈트등급	결정체1생성확률	결정체1	결정1개수	결정체1생성시계산금액			랜덤생성아이템			
	Code	Name	Ncode	ItemType	ItemLevel	EnchantLV	ResultRatio1	MaterialCode1	MaterialCount1	MaterialMoney1	RandomRatio1	RandomStandardRatio1	RandomItemCode1	RandomItemCount1	LuckyItemType	FieldEnd
//그 외 그룹																
	1	양손도끼	0	1	0	0	100	4951	1	3000	0	1000000	0	0	0	
	2	양손도끼	0	1	0	1	100	4951	1	3000	0	1000000	0	0	0	
	3	양손도끼	0	1	0	2	100	4951	1	3000	0	1000000	0	0	0	
	4	양손도끼	0	1	0	3	100	4951	1	3000	0	1000000	0	0	0	
	5	양손도끼	0	1	0	4	100	4951	1	3000	0	1000000	0	0	0	
	6	양손도끼	0	1	0	5	100	4951	1	3000	0	1000000	0	0	0	
	7	양손도끼	0	1	0	6	100	4951	1	3000	0	1000000	0	0	0	
	8	양손도끼	0	1	0	7	100	4951	1	3000	0	1000000	0	0	0	
	9	양손도끼	0	1	0	8	100	4951	1	3000	0	1000000	0	0	0	
	10	양손도끼	0	1	0	9	100	4951	1	3000	0	1000000	0	0	0	
	11	양손도끼	0	1	0	10	100	4951	1	3000	0	1000000	0	0	0	
	12	양손도끼	0	1	0	11	100	4951	1	3000	0	1000000	0	0	0	
	13	양손도끼	0	1	0	12	100	4951	1	3000	0	1000000	0	0	0	
	14	양손검	0	2	0	0	100	4951	1	3000	0	1000000	0	0	0	
	15	양손검	0	2	0	1	100	4951	1	3000	0	1000000	0	0	0	
	16	양손검	0	2	0	2	100	4951	1	3000	0	1000000	0	0	0	
	17	양손검	0	2	0	3	100	4951	1	3000	0	1000000	0	0	0	
	18	양손검	0	2	0	4	100	4951	1	3000	0	1000000	0	0	0	
	19	양손검	0	2	0	5	100	4951	1	3000	0	1000000	0	0	0	
	20	양손검	0	2	0	6	100	4951	1	3000	0	1000000	0	0	0	
	21	양손검	0	2	0	7	100	4951	1	3000	0	1000000	0	0	0	
	22	양손검	0	2	0	8	100	4951	1	3000	0	1000000	0	0	0	
	23	양손검	0	2	0	9	100	4951	1	3000	0	1000000	0	0	0	
	24	양손검	0	2	0	10	100	4951	1	3000	0	1000000	0	0	0	
	25	양손검	0	2	0	11	100	4951	1	3000	0	1000000	0	0	0	
	26	양손검	0	2	0	12	100	4951	1	3000	0	1000000	0	0	0	
	27	한손검	0	3	0	0	100	4951	1	3000	0	1000000	0	0	0	
	28	한손검	0	3	0	1	100	4951	1	3000	0	1000000	0	0	0	
	29	한손검	0	3	0	2	100	4951	1	3000	0	1000000	0	0	0	
	30	한손검	0	3	0	3	100	4951	1	3000	0	1000000	0	0	0	
	31	한손검	0	3	0	4	100	4951	1	3000	0	1000000	0	0	0	
	32	한손검	0	3	0	5	100	4951	1	3000	0	1000000	0	0	0	
	33	한손검	0	3	0	6	100	4951	1	3000	0	1000000	0	0	0	
	34	한손검	0	3	0	7	100	4951	1	3000	0	1000000	0	0	0	
	35	한손검	0	3	0	8	100	4951	1	3000	0	1000000	0	0	0	
	36	한손검	0	3	0	9	100	4951	1	3000	0	1000000	0	0	0	
	37	한손검	0	3	0	10	100	4951	1	3000	0	1000000	0	0	0	
	38	한손검	0	3	0	11	100	4951	1	3000	0	1000000	0	0	0	
	39	한손검	0	3	0	12	100	4951	1	3000	0	1000000	0	0	0	
	40	창	0	4	0	0	100	4951	1	3000	0	1000000	0	0	0	
	41	창	0	4	0	1	100	4951	1	3000	0	1000000	0	0	0	
	42	창	0	4	0	2	100	4951	1	3000	0	1000000	0	0	0	
	43	창	0	4	0	3	100	4951	1	3000	0	1000000	0	0	0	
	44	창	0	4	0	4	100	4951	1	3000	0	1000000	0	0	0	
	45	창	0	4	0	5	100	4951	1	3000	0	1000000	0	0	0	
	46	창	0	4	0	6	100	4951	1	3000	0	1000000	0	0	0	
	47	창	0	4	0	7	100	4951	1	3000	0	1000000	0	0	0	
	48	창	0	4	0	8	100	4951	1	3000	0	1000000	0	0	0	
	49	창	0	4	0	9	100	4951	1	3000	0	1000000	0	0	0	
	50	창	0	4	0	10	100	4951	1	3000	0	1000000	0	0	0	
	51	창	0	4	0	11	100	4951	1	3000	0	1000000	0	0	0	
	52	창	0	4	0	12	100	4951	1	3000	0	1000000	0	0	0	
	53	채찍	0	5	0	0	100	4951	1	3000	0	1000000	0	0	0	
