//돈 및 아이템 드롭 율 배율값 설정				index : (1~8 은 돈, 100번대는 아이템)									
//작성자 : 김태현				1 : 1~3배									
//version 0.0.0.1				5: 40~ 60배									
//날짜 :		2006-1-24-1		7 : 400~600 배									
//													
//	몬스터등급	index	드롭양										몬스터마리기준값
//	b_monster_type	b_index	d_drop_amount1	d_drop_amount2	d_drop_amount3	d_drop_amount4	d_drop_amount5	d_drop_amount6	d_drop_amount7	d_drop_amount8	d_drop_amount9	d_drop_amount10	d_drop_standard
	1	1	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	1000000
//	1	2	150000	150000	150000	150000	150000	150000	150000	150000	150000	150000	1000000
//	1	3	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1000000
//	1	4	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	1000000
	1	5	100	100	100	100	100	100	100	100	100	100	1000000
//	1	6	100	100	100	100	100	100	100	100	100	100	1000000
	1	7	1	1	1	1	1	1	1	1	1	1	1000000
//	1	8	1	1	1	1	1	1	1	1	1	1	1000000
	1	101	1500	1477	1455	1432	1410	1387	1365	1342	1320	1297	1000000
	1	102	3200	3152	3104	3056	3008	2960	2912	2864	2816	2768	1000000
	1	103	4900	4826	4753	4679	4606	4532	4459	4385	4312	4238	1000000
	1	104	6600	6501	6402	6303	6204	6105	6006	5907	5808	5709	1000000
	1	105	8300	8175	8051	7926	7802	7677	7553	7428	7304	7179	1000000
	1	106	10000	9850	9700	9550	9400	9250	9100	8950	8800	8650	1000000
	1	107	7000	6895	6790	6685	6580	6475	6370	6265	6160	6055	1000000
	1	108	4000	3940	3880	3820	3760	3700	3640	3580	3520	3460	1000000
	1	109	3000	2955	2910	2865	2820	2775	2730	2685	2640	2595	1000000
	1	110	1000	985	970	955	940	925	910	895	880	865	1000000
	1	111	500	492	485	477	470	462	455	447	440	432	1000000
//													
//													
	2	1	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	1000000
//	2	2	150000	150000	150000	150000	150000	150000	150000	150000	150000	150000	1000000
//	2	3	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1000000
//	2	4	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	1000000
	2	5	100	100	100	100	100	100	100	100	100	100	1000000
//	2	6	100	100	100	100	100	100	100	100	100	100	1000000
	2	7	1	1	1	1	1	1	1	1	1	1	1000000
//	2	8	1	1	1	1	1	1	1	1	1	1	1000000
	2	101	3750	3693	3637	3581	3525	3468	3412	3356	3300	3243	1000000
	2	102	8000	7880	7760	7640	7520	7400	7280	7160	7040	6920	1000000
	2	103	12250	12066	11882	11698	11515	11331	11147	10963	10780	10596	1000000
	2	104	16500	16252	16005	15757	15510	15262	15015	14767	14520	14272	1000000
	2	105	20750	20438	20127	19816	19505	19193	18882	18571	18260	17948	1000000
	2	106	25000	24625	24250	23875	23500	23125	22750	22375	22000	21625	1000000
	2	107	17500	17237	16975	16712	16450	16187	15925	15662	15400	15137	1000000
	2	108	10000	9850	9700	9550	9400	9250	9100	8950	8800	8650	1000000
	2	109	7500	7387	7275	7162	7050	6937	6825	6712	6600	6487	1000000
	2	110	2500	2462	2425	2387	2350	2312	2275	2237	2200	2162	1000000
	2	111	1250	1231	1212	1193	1175	1156	1137	1118	1100	1081	1000000
//													
//													
	3	1	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	1000000
//	3	2	150000	150000	150000	150000	150000	150000	150000	150000	150000	150000	1000000
//	3	3	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1000000
//	3	4	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	1000000
	3	5	100	100	100	100	100	100	100	100	100	100	1000000
//	3	6	100	100	100	100	100	100	100	100	100	100	1000000
	3	7	1	1	1	1	1	1	1	1	1	1	1000000
//	3	8	1	1	1	1	1	1	1	1	1	1	1000000
	3	101	3000	2955	2910	2865	2820	2775	2730	2685	2640	2595	1000000
	3	102	6400	6304	6208	6112	6016	5920	5824	5728	5632	5536	1000000
	3	103	9800	9653	9506	9359	9212	9065	8918	8771	8624	8477	1000000
	3	104	13200	13002	12804	12606	12408	12210	12012	11814	11616	11418	1000000
	3	105	16600	16351	16102	15853	15604	15355	15106	14857	14608	14359	1000000
	3	106	20000	19700	19400	19100	18800	18500	18200	17900	17600	17300	1000000
	3	107	14000	13790	13580	13370	13160	12950	12740	12530	12320	12110	1000000
	3	108	8000	7880	7760	7640	7520	7400	7280	7160	7040	6920	1000000
	3	109	6000	5910	5820	5730	5640	5550	5460	5370	5280	5190	1000000
	3	110	2000	1970	1940	1910	1880	1850	1820	1790	1760	1730	1000000
	3	111	1000	985	970	955	940	925	910	895	880	865	1000000
//													
//													
	4	1	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	1000000
//	4	2	150000	150000	150000	150000	150000	150000	150000	150000	150000	150000	1000000
//	4	3	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1000000
//	4	4	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	1000000
	4	5	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000000
//	4	6	100	100	100	100	100	100	100	100	100	100	1000000
	4	7	5	5	5	5	5	5	5	5	5	5	1000000
//	4	8	1	1	1	1	1	1	1	1	1	1	1000000
	4	101	4500	4432	4365	4297	4230	4162	4095	4027	3960	3892	1000000
	4	102	9600	9456	9312	9168	9024	8880	8736	8592	8448	8304	1000000
	4	103	14700	14479	14259	14038	13818	13597	13377	13156	12936	12715	1000000
	4	104	19800	19503	19206	18909	18612	18315	18018	17721	17424	17127	1000000
	4	105	24900	24526	24153	23779	23406	23032	22659	22285	21912	21538	1000000
	4	106	30000	29550	29100	28650	28200	27750	27300	26850	26400	25950	1000000
	4	107	21000	20685	20370	20055	19740	19425	19110	18795	18480	18165	1000000
	4	108	12000	11820	11640	11460	11280	11100	10920	10740	10560	10380	1000000
	4	109	9000	8865	8730	8595	8460	8325	8190	8055	7920	7785	1000000
	4	110	3000	2955	2910	2865	2820	2775	2730	2685	2640	2595	1000000
	4	111	1500	1477	1455	1432	1410	1387	1365	1342	1320	1297	1000000
//													
//													
	5	1	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	1000000
//	5	2	150000	150000	150000	150000	150000	150000	150000	150000	150000	150000	1000000
