//아이템Drop타입									
//업데이트									
//작성자	정동일								
//Version	오후 4:58 2008-03-05								
									
//	몬스터 아이템 드랍 리스트								
//	몬스터 등급(타입)에 따른 확률에 의하여 bIndex값을 산출한다. bIndex값은 ItemTypeList의 bIndex값을 참조한다.								
//	"몬스터 등급2를 잡았을때, 몬스터 등급2 열의 확률값에 따라, bIndex중 한 개를 선택하여, ItemTypeList의 bIndex값에 해당하는 아이템 정보를 이용하여 아이템 드랍."								
//	"ItemTypeDropRatio스크립트의 bIndex값은 순차적으로 증가하지 않을수도 있습니다.(1,2,3,4 이 아닌, 1,3,5,100,101)"								
	bIndex	dStandard	MGrade1	MGrade2	MGrade3	MGrade4	MGrade5	MGrade9	FieldEnd
	10000	100000000	55000000	0	0	0	0	500000	
	10001	100000000	30000000	56000000	38461500	0	0	500000	
	10002	100000000	15000000	14000000	20979000	0	0	500000	
	10003	100000000	0	0	10489500	0	0	500000	
	10004	100000000	0	0	0	0	0	500000	
	10100	100000000	0	0	0	0	0	500000	
	10101	100000000	0	24000000	16483500	69300000	58800000	500000	
	10102	100000000	0	6000000	8991000	24750000	24500000	500000	
	10103	100000000	0	0	4495500	4950000	9800000	500000	
	10104	100000000	0	0	0	0	4900000	500000	
	20000	100000000	0	0	100000	280000	722582	500000	
	20001	100000000	0	0	0	70000	361290	500000	
	20002	100000000	0	0	0	0	180645	500000	
	20003	100000000	0	0	0	0	90322	500000	
	20004	100000000	0	0	0	0	45161	500000	
	20100	100000000	0	0	0	120000	309678	500000	
	20101	100000000	0	0	0	30000	154838	500000	
	20102	100000000	0	0	0	0	77419	500000	
	20103	100000000	0	0	0	0	38710	500000	
	20104	100000000	0	0	0	0	19355	500000	
	30000	100000000	0	0	0	0	0	0	
	30001	100000000	0	0	0	0	0	0	
	30002	100000000	0	0	0	0	0	0	
	30003	100000000	0	0	0	0	0	0	
	30004	100000000	0	0	0	0	0	0	
	30100	100000000	0	0	0	0	0	0	
	30101	100000000	0	0	0	0	0	0	
	30102	100000000	0	0	0	0	0	0	
	30103	100000000	0	0	0	0	0	0	
	30104	100000000	0	0	0	0	0	0	
	40000	100000000	0	0	0	0	0	0	
	40001	100000000	0	0	0	0	0	0	
	40002	100000000	0	0	0	0	0	0	
	40003	100000000	0	0	0	0	0	0	
	40004	100000000	0	0	0	0	0	0	
	40100	100000000	0	0	0	0	0	0	
	40101	100000000	0	0	0	0	0	0	
	40102	100000000	0	0	0	0	0	0	
	40103	100000000	0	0	0	0	0	0	
	40104	100000000	0	0	0	0	0	0	
	50000	100000000	0	0	0	0	0	0	
	50001	100000000	0	0	0	0	0	0	
	50002	100000000	0	0	0	0	0	0	
	50003	100000000	0	0	0	0	0	0	
	50004	100000000	0	0	0	0	0	0	
	50100	100000000	0	0	0	0	0	0	
	50101	100000000	0	0	0	0	0	0	
	50102	100000000	0	0	0	0	0	0	
	50103	100000000	0	0	0	0	0	0	
	50104	100000000	0	0	0	0	0	0	
