//아이템타입리스트						
//		0 일반				
//		1 디바인				
//		2 일반 에테리아				
//		3 디바인 에테리아				
//		4 외형				
//	인덱스	타입	인챈트	랭크업		
	ItemTypeIndex	bDivine	Enchant	Grade	FieldEnd	
	10000	0	0	0	//	"인첸트 +0, 등급 0, 일반 아이템"
	10001	0	1	0	//	"인첸트 +1, 등급 0, 일반 아이템"
	10002	0	2	0	//	"인첸트 +2, 등급 0, 일반 아이템"
	10003	0	3	0	//	"인첸트 +3, 등급 0, 일반 아이템"
	10004	0	4	0	//	"인첸트 +4, 등급 0, 일반 아이템"
	10005	0	5	0	//	"인첸트 +5, 등급 0, 일반 아이템"
	10006	0	6	0	//	"인첸트 +6, 등급 0, 일반 아이템"
	10007	0	7	0	//	"인첸트 +7, 등급 0, 일반 아이템"
	10008	0	8	0	//	"인첸트 +8, 등급 0, 일반 아이템"
	10009	0	9	0	//	"인첸트 +9, 등급 0, 일반 아이템"
	10010	0	10	0	//	"인첸트 +10, 등급 0, 일반 아이템"
	10011	0	11	0	//	"인첸트 +11, 등급 0, 일반 아이템"
	10012	0	12	0	//	"인첸트 +12, 등급 0, 일반 아이템"
	10100	0	0	1	//	"인첸트 +0, 등급 1, 일반 아이템"
	10101	0	1	1	//	"인첸트 +1, 등급 1, 일반 아이템"
	10102	0	2	1	//	"인첸트 +2, 등급 1, 일반 아이템"
	10103	0	3	1	//	"인첸트 +3, 등급 1, 일반 아이템"
	10104	0	4	1	//	"인첸트 +4, 등급 1, 일반 아이템"
	10105	0	5	1	//	"인첸트 +5, 등급 1, 일반 아이템"
	10106	0	6	1	//	"인첸트 +6, 등급 1, 일반 아이템"
	10107	0	7	1	//	"인첸트 +7, 등급 1, 일반 아이템"
	10108	0	8	1	//	"인첸트 +8, 등급 1, 일반 아이템"
	10109	0	9	1	//	"인첸트 +9, 등급 1, 일반 아이템"
	10110	0	10	1	//	"인첸트 +10, 등급 1, 일반 아이템"
	10111	0	11	1	//	"인첸트 +11, 등급 1, 일반 아이템"
	10112	0	12	1	//	"인첸트 +12, 등급 1, 일반 아이템"
	10200	0	0	2	//	"인첸트 +0, 등급 2, 일반 아이템"
	10201	0	1	2	//	"인첸트 +1, 등급 2, 일반 아이템"
	10202	0	2	2	//	"인첸트 +2, 등급 2, 일반 아이템"
	10203	0	3	2	//	"인첸트 +3, 등급 2, 일반 아이템"
	10204	0	4	2	//	"인첸트 +4, 등급 2, 일반 아이템"
	10205	0	5	2	//	"인첸트 +5, 등급 2, 일반 아이템"
	10206	0	6	2	//	"인첸트 +6, 등급 2, 일반 아이템"
	10207	0	7	2	//	"인첸트 +7, 등급 2, 일반 아이템"
	10208	0	8	2	//	"인첸트 +8, 등급 2, 일반 아이템"
	10209	0	9	2	//	"인첸트 +9, 등급 2, 일반 아이템"
	10210	0	10	2	//	"인첸트 +10, 등급 2, 일반 아이템"
	10211	0	11	2	//	"인첸트 +11, 등급 2, 일반 아이템"
	10212	0	12	2	//	"인첸트 +12, 등급 2, 일반 아이템"
	10300	0	0	3	//	"인첸트 +0, 등급 3, 일반 아이템"
	10301	0	1	3	//	"인첸트 +1, 등급 3, 일반 아이템"
	10302	0	2	3	//	"인첸트 +2, 등급 3, 일반 아이템"
	10303	0	3	3	//	"인첸트 +3, 등급 3, 일반 아이템"
	10304	0	4	3	//	"인첸트 +4, 등급 3, 일반 아이템"
	10305	0	5	3	//	"인첸트 +5, 등급 3, 일반 아이템"
	10306	0	6	3	//	"인첸트 +6, 등급 3, 일반 아이템"
	10307	0	7	3	//	"인첸트 +7, 등급 3, 일반 아이템"
	10308	0	8	3	//	"인첸트 +8, 등급 3, 일반 아이템"
	10309	0	9	3	//	"인첸트 +9, 등급 3, 일반 아이템"
	10310	0	10	3	//	"인첸트 +10, 등급 3, 일반 아이템"
	10311	0	11	3	//	"인첸트 +11, 등급 3, 일반 아이템"
	10312	0	12	3	//	"인첸트 +12, 등급 3, 일반 아이템"
	10400	0	0	4	//	"인첸트 +0, 등급 4, 일반 아이템"
	10401	0	1	4	//	"인첸트 +1, 등급 4, 일반 아이템"
	10402	0	2	4	//	"인첸트 +2, 등급 4, 일반 아이템"
	10403	0	3	4	//	"인첸트 +3, 등급 4, 일반 아이템"
	10404	0	4	4	//	"인첸트 +4, 등급 4, 일반 아이템"
	10405	0	5	4	//	"인첸트 +5, 등급 4, 일반 아이템"
	10406	0	6	4	//	"인첸트 +6, 등급 4, 일반 아이템"
	10407	0	7	4	//	"인첸트 +7, 등급 4, 일반 아이템"
	10408	0	8	4	//	"인첸트 +8, 등급 4, 일반 아이템"
	10409	0	9	4	//	"인첸트 +9, 등급 4, 일반 아이템"
	10410	0	10	4	//	"인첸트 +10, 등급 4, 일반 아이템"
	10411	0	11	4	//	"인첸트 +11, 등급 4, 일반 아이템"
	10412	0	12	4	//	"인첸트 +12, 등급 4, 일반 아이템"
	10500	0	0	5	//	"인첸트 +0, 등급 5, 일반 아이템"
	10501	0	1	5	//	"인첸트 +1, 등급 5, 일반 아이템"
	10502	0	2	5	//	"인첸트 +2, 등급 5, 일반 아이템"
	10503	0	3	5	//	"인첸트 +3, 등급 5, 일반 아이템"
	10504	0	4	5	//	"인첸트 +4, 등급 5, 일반 아이템"
	10505	0	5	5	//	"인첸트 +5, 등급 5, 일반 아이템"
