//		행	21	155		파라미터						제한값									
//	맵포탈스크립트작성	열	1	16		bMapType	맵타입		0 : 필드			bMin_Level	최소레벨제한	0~255		bMin_Level<유저레벨<bMax_Level 이여야 입장가능					
//	작성자 	김태현							1 : 미션							0 값인 경우 레벨제한 체크하지 않음					
//	수정자	김준호							(헌팅/PvP는 사용불가)			bMax_Level	최대레벨제한	0~255		bMin_Level<유저레벨>bMax_Level 이여야 입장가능					
//	수정날짜	09.2.25														0 값인 경우 레벨제한 체크하지 않음					
//	Version 1.0.0.4					bMoveType	이동타입		0: 포탈이용												
//									1: NPC이용			wMissionCode	미션제한	0~65535		해당 미션코드를 클리어 해야지만 맵에 진입가능					
//									2: 웨이포인트							0 값인 경우 미션제한 체크하지 않음					
//												wQuestCode	퀘스트제한	0~65535		해당 퀘스트코드를 클리어해야지만 맵에 진입가능					
//						sAreaFromID	이동되는 영역ID		Field.txt 참조							0 값인 경우 퀘스트제한 체크하지 않음					
//						sPortalID	현재필드의포탈오브젝트ID		텍스트값												
//						wFieldTo	오브젝트클릭시이동할필드		Field.txt 참조			사용료									
//						sAreaToID	이동될 영역ID					dHeim	맵진입시통행료	0~Max		맵 이동시 금액 만큼 소비					
//																0 인 경우 하임 소비 하지 않음					
//						wWorldFrom	현재필드를 참조할 월드.txt 의 코드값 참조					dWaste_Item	맵진입시아이템소비	0~65535		맵 이동시 해당 코드의 아이템 소비					
//						wWorldTo	넘어갈필드를 참조할 월드.txt 의 코드값 참조									0 인 경우 아이템 소비 하지 않음					
//	1																				
//										제한값							사용료				
//	인덱스	맵타입	이동타입	월드코드	현재필드	필드의영역ID	이동필드월드참조	넘어가는필드	넘어가는필드의영역ID	최소레벨제한	최대레벨제한	미션제한	퀘스트제한	아이템제한	보유개수	아이템소비여부	통행료				
	wIndex	bMapType	bMoveType	wWorldFrom	wFieldFrom	sAreaFromID	wWorldTo	wFieldTo	sAreaToID	bMin_Level	bMax_Level	wMissionCode	wQuestCode	wItemCode	bItemNum	dWaste_Item	dHeim	FieldEnd			
//	야수의 숲																			출발	도착
//	30001	0	0	10001	10001	PRT0	20004	20004	ENT1	1	135	0	0	0	0	0	0		//	트링겔	자피르호수
//	30002	0	0	20004	20004	OUT1	10001	10001	ENT1	1	135	0	0	0	0	0	0		//	자피르호수	트링겔
	30003	0	0	10002	10002	PRT0	20004	20004	ENT3	1	135	0	0	0	0	0	0		//	벨트헨	자피르호수
	30004	0	0	20004	20004	OUT3	10002	10002	ENT1	1	135	0	0	0	0	0	0		//	자피르호수	벨트헨
	30005	0	0	10001	10001	OUT2	20104	20104	ENT3	1	135	0	0	0	0	0	0		//	트링겔	미완의기념관
	30006	0	0	20104	20104	OUT3	10001	10001	ENT2	1	135	0	0	0	0	0	0		//	미완의기념관	트링겔
	30007	0	0	20004	20004	OUT4	20001	20001	ENT1	1	135	0	0	0	0	0	0		//	자피르호수	숲의입구
	30008	0	0	20001	20001	OUT1	20004	20004	ENT4	1	135	0	0	0	0	0	0		//	숲의입구	자피르호수
	30009	0	0	20004	20004	OUT2	20002	20002	ENT1	1	135	0	0	0	0	0	0		//	자피르호수	무너진성벽의숲
	30010	0	0	20002	20002	OUT1	20004	20004	ENT2	1	135	0	0	0	0	0	0		//	무너진성벽의숲	자피르호수
//	30011	0	0	20001	20001	OUT2	20002	20002	ENT2	1	135	0	0	0	0	0	0		//	숲의입구	무너진성벽의숲
//	30012	0	0	20002	20002	OUT2	20001	20001	ENT2	1	135	0	0	0	0	0	0		//	무너진성벽의숲	숲의입구
//	30013	0	0	20001	20001	OUT3	20005	20005	ENT2	1	135	0	0	0	0	0	0		//	숲의입구	연금술사의길
//	30014	0	0	20005	20005	OUT2	20001	20001	ENT3	1	135	0	0	0	0	0	0		//	연금술사의길	숲의입구
	30015	0	0	20002	20002	OUT3	20005	20005	ENT1	1	135	0	0	0	0	0	0		//	무너진성벽의숲	연금술사의길
	30016	0	0	20005	20005	OUT1	20002	20002	ENT3	1	135	0	0	0	0	0	0		//	연금술사의길	무너진성벽의숲
//	30017	0	0	20005	20005	OUT3	10003	10003	ENT1	1	135	0	0	0	0	0	0		//	연금술사의길	에텔레인
//	30018	0	0	10003	10003	PRT1	20005	20005	ENT3	1	135	0	0	0	0	0	0		//	에텔레인	연금술사의길
	30019	0	0	20005	20005	OUT4	20003	20003	ENT1	1	135	0	0	0	0	0	0		//	연금술사의길	야수동굴
	30020	0	0	20003	20003	OUT1	20005	20005	ENT4	1	135	0	0	0	0	0	0		//	야수동굴	연금술사의길
	30021	1	0	20206	20206	MP01	31	610	NULL	1	135	0	304	0	0	0	0		//	에소드마을	신목의숲(미션)
	30022	1	0	20001	20001	MP01	3	3	NULL	5	135	3	351	0	0	0	0		//	무너진성벽의숲	강철야수부족의음모(미션)
	30023	1	0	20004	20004	MP01	2	2	NULL	5	135	2	334	0	0	0	0		//	자피르호수	불길한소문(미션)
	30024	1	0	20005	20005	MP01	4	2	NULL	5	135	4	364	0	0	0	0		//	연금술사의길	음모의분쇄(미션)
	30025	1	0	20005	20005	MP02	1	1	NULL	5	135	1	1244	0	0	0	0		//	연금술사의길	야수들의숲(미션)
//	에텔레인 지하수로																				
	30101	0	0	20003	20003	OUT2	20104	20104	ENT1	1	135	0	0	0	0	0	0		//	야수동굴	미완의기념관
	30102	0	0	20104	20104	OUT1	20003	20003	ENT2	1	135	0	0	0	0	0	0		//	미완의기념관	야수동굴
	30103	0	0	20104	20104	OUT2	20101	20101	ENT1	1	135	0	0	0	0	0	0		//	미완의기념관	혼란의통로
	30104	0	0	20101	20101	OUT1	20104	20104	ENT2	1	135	0	0	0	0	0	0		//	혼란의통로	미완의기념관
	30105	0	0	20101	20101	OUT3	20103	20103	ENT1	1	135	0	0	0	0	0	0		//	혼란의통로	엄숙한복도
	30106	0	0	20103	20103	OUT1	20101	20101	ENT3	1	135	0	0	0	0	0	0		//	엄숙한복도	혼란의통로
	30107	0	0	20103	20103	OUT2	20102	20102	ENT1	1	135	0	0	0	0	0	0		//	엄숙한복도	녹슨수문의지하수로
	30108	0	0	20102	20102	OUT1	20103	20103	ENT2	1	135	0	0	0	0	0	0		//	녹슨수문의지하수로	엄숙한복도
	30109	0	0	20101	20101	OUT2	20102	20102	ENT2	1	135	0	0	0	0	0	0		//	혼란의통로	녹슨수문의지하수로
	30110	0	0	20102	20102	OUT2	20101	20101	ENT2	1	135	0	0	0	0	0	0		//	녹슨수문의지하수로	혼란의통로
	30111	0	0	20102	20102	OUT3	20105	20105	ENT1	1	135	0	0	0	0	0	0		//	녹슨수문의지하수로	서쪽미로의지하수로
	30112	0	0	20105	20105	OUT1	20102	20102	ENT3	1	135	0	0	0	0	0	0		//	서쪽미로의지하수로	녹슨수문의지하수로
	30113	0	0	20105	20105	OUT2	20106	20106	ENT1	1	135	0	0	0	0	0	0		//	서쪽미로의지하수로	동쪽미로의지하수로
	30114	0	0	20105	20105	OUT3	20106	20106	ENT2	1	135	0	0	0	0	0	0		//	서쪽미로의지하수로	동쪽미로의지하수로
	30115	0	0	20106	20106	OUT1	20105	20105	ENT2	1	135	0	0	0	0	0	0		//	동쪽미로의지하수로	서쪽미로의지하수로
	30116	0	0	20106	20106	OUT2	20105	20105	ENT3	1	135	0	0	0	0	0	0		//	동쪽미로의지하수로	서쪽미로의지하수로
	30117	0	0	20106	20106	OUT3	10003	10003	ENT4	1	135	0	0	0	0	0	0		//	동쪽미로의지하수로	에텔레인
	30118	0	0	10003	10003	PRT4	20106	20106	ENT3	1	135	0	0	0	0	0	0		//	에텔레인	동쪽미로의지하수로
	30119	1	0	20103	20103	MP01	7	5	NULL	20	135	7	403	0	0	0	0		//	엄숙한복도	에텔레인진입로(미션)
	30120	1	0	20104	20104	MP01	9	19	NULL	20	135	9	387	0	0	0	0		//	미완의기념관	숨겨진길(미션)
	30121	1	0	20106	20106	MP01	8	5	NULL	20	135	8	412	0	0	0	0		//	동쪽미로의지하수로	시겔기사단의묘지(미션)
	30122	1	0	20106	20106	MP02	6	4	NULL	20	135	6	420	0	0	0	0		//	동쪽미로의지하수로	에텔레인지하수로(미션)
//	얼어붙은 궁전																				
	30201	0	0	10003	10003	PRT2	20204	20204	ENT1	35	135	0	0	0	0	0	0		//	에텔레인	요새의성역
	30202	0	0	20204	20204	OUT1	10003	10003	ENT2	35	135	0	0	0	0	0	0		//	요새의성역	에텔레인
	30203	0	0	20204	20204	OUT2	20201	20201	ENT1	35	135	0	0	0	0	0	0		//	요새의성역	설원의땅
	30204	0	0	20201	20201	OUT1	20204	20204	ENT2	35	135	0	0	0	0	0	0		//	설원의땅	요새의성역
	30205	0	0	20204	20204	OUT3	20205	20205	ENT1	35	135	0	0	0	0	0	0		//	요새의성역	폐허의탑
	30206	0	0	20205	20205	OUT1	20204	20204	ENT3	35	135	0	0	0	0	0	0		//	폐허의탑	요새의성역
	30207	0	0	20201	20201	OUT2	20202	20202	ENT1	35	135	0	0	0	0	0	0		//	설원의땅	얼어붙은정원
	30208	0	0	20202	20202	OUT1	20201	20201	ENT2	35	135	0	0	0	0	0	0		//	얼어붙은정원	설원의땅
	30209	0	0	20202	20202	OUT2	20205	20205	ENT2	35	135	0	0	0	0	0	0		//	얼어붙은정원	폐허의탑
	30210	0	0	20205	20205	OUT2	20202	20202	ENT2	35	135	0	0	0	0	0	0		//	폐허의탑	얼어붙은정원
	30211	0	0	20202	20202	OUT3	20203	20203	ENT1	35	135	0	0	0	0	0	0		//	얼어붙은정원	얼음수정궁전
	30212	0	0	20203	20203	OUT1	20202	20202	ENT3	35	135	0	0	0	0	0	0		//	얼음수정궁전	얼어붙은정원
	30213	0	0	20204	20204	OUT4	54061	54061	ENT2	55	135	0	0	0	0	0	0		//	요새의성역	고룡의무덤
	30214	0	0	54061	54061	OUT2	20204	20204	ENT4	35	135	0	0	0	0	0	0		//	고룡의무덤	요새의성역
//	30215	0	0	20205	20205	OUT3	54081	54081	ENT2	55	135	0	0	0	0	0	0		//	폐허의탑	카르완의분화구
//	30216	0	0	54081	54081	OUT2	20205	20205	ENT3	35	135	0	0	0	0	0	0		//	카르완의분화구	폐허의탑
	30217	0	0	20206	20206	OUT3	10001	10001	ENT2	1	135	0	0	0	0	0	0		//	튜터리얼	트링겔
	30218	0	0	20206	20206	OUT3	10002	10002	ENT2	1	135	0	0	0	0	0	0		//	튜터리얼	벨트헨
	30219	1	0	20202	20202	MP01	13	20	NULL	40	135	13	460	0	0	0	0		//	얼어붙은정원	성외곽에서의전투(미션)
	30220	1	0	20202	20202	MP02	14	8	NULL	40	135	14	470	0	0	0	0		//	얼어붙은정원	성설원2차진격(미션)
	30221	1	0	20203	20203	MP01	11	7	NULL	40	135	11	489	0	0	0	0		//	얼음수정궁전	얼어붙은궁전(미션)
	30222	1	0	20204	20204	MP01	12	101	NULL	40	135	12	440	0	0	0	0		//	요새의성역	제국전령저지(미션)
//	용족의 계곡																				
	30301	0	0	10003	10003	PRT3	54061	54061	ENT4	55	135	0	0	0	0	0	0		//	에텔레인	고룡의무덤
	30302	0	0	54061	54061	OUT4	10003	10003	ENT3	1	135	0	0	0	0	0	0		//	고룡의무덤	에텔레인
//	30303	0	0	54061	54061	OUT1	55061	55061	ENT1	75	135	0	0	0	0	0	0		//	고룡의무덤	고통의묘지
//	30304	0	0	55061	55061	OUT1	54061	54061	ENT1	55	135	0	0	0	0	0	0		//	고통의묘지	고룡의무덤
	30305	0	0	54061	54061	OUT3	54081	54081	ENT3	55	135	0	0	0	0	0	0		//	고룡의무덤	카르완의분화구
	30306	0	0	54081	54081	OUT3	54061	54061	ENT3	55	135	0	0	0	0	0	0		//	카르완의분화구	고룡의무덤
	30309	0	0	54081	54081	OUT4	54001	54001	ENT1	55	135	0	0	0	0	0	0		//	카르완의분화구	붉은용암의계곡
	30310	0	0	54001	54001	OUT1	54081	54081	ENT4	55	135	0	0	0	0	0	0		//	붉은용암의계곡	카르완의분화구
	30311	0	0	54001	54001	OUT2	54021	54021	ENT1	55	135	0	0	0	0	0	0		//	붉은용암의계곡	울부짓는골짜기
	30312	0	0	54021	54021	OUT1	54001	54001	ENT2	55	135	0	0	0	0	0	0		//	울부짓는골짜기	붉은용암의계곡
	30313	0	0	54001	54001	OUT3	54041	54041	ENT2	55	135	0	0	0	0	0	0		//	붉은용암의계곡	피의분화구
	30314	0	0	54041	54041	OUT2	54001	54001	ENT3	55	135	0	0	0	0	0	0		//	피의분화구	붉은용암의계곡
	30315	0	0	54021	54021	OUT2	54041	54041	ENT1	55	135	0	0	0	0	0	0		//	울부짓는골짜기	피의분화구
