												
//미션 진행정보 스크립트												
//최초 작성자 : 송영덕												
//최종 수정자 : 송영덕												
//최종 수정일 : 2010-09-01												
												
												
//인덱스	미션코드	미션네임	공개조건필드코드	텍스트정보	공개조건트리거ID1	공개조건트리거ID2	공개조건트리거ID3	공개조건트리거ID4	공개조건트리거ID5	완료조건필드코드	완료조건트리거ID	
Index	MapCode	NCode	OpenFieldCode	MissionText	OpenTgrID1	OpenTgrID2	OpenTgrID3	OpenTgrID4	OpenTgrID5	CloseFieldCode	CompleteTgrID	FieldEnd
//불길한소문												
3	2	52002	2	3	2147483709	0	0	0	0	2	825241940	
4	2	52002	2	4	1414743380	0	0	0	0	2	825241940	
5	2	52002	2	5	825241940	0	0	0	0	2	842019156	
6	2	52002	2	6	842019156	0	0	0	0	2	858796372	
7	2	52002	2	7	858796372	0	0	0	0	2	2147483756	
8	2	52002	2	8	2147483756	0	0	0	0	2	2147483758	
9	2	52002	2	9	2147483758	0	0	0	0	2	2147483759	
10	2	52002	2	10	2147483759	0	0	0	0	2	2147483760	
11	2	52002	601	11	2147483658	0	0	0	0	601	2147483663	
12	2	52002	601	12	2147483663	0	0	0	0	2	2147483761	
13	2	52002	2	13	2147483761	0	0	0	0	2	2147483763	
14	2	52002	2	14	2147483763	0	0	0	0	602	2147483656	
15	2	52002	602	15	2147483656	0	0	0	0	602	2147483660	
16	2	52002	602	16	2147483660	0	0	0	0	2	2147483766	
17	2	52002	2	17	2147483751	0	0	0	0	2	2147483753	
18	2	52002	2	18	825569620	0	0	0	0	2	2147483753	
19	2	52002	2	19	2147483766	0	0	0	0	2	2147483767	
20	2	52002	2	20	2147483767	0	0	0	0	501	2147483656	
21	2	52002	501	21	2147483656	0	0	0	0	501	2147483660	
22	2	52002	501	22	2147483660	0	0	0	0	501	2147483661	
//강철야수부족의음모												
23	3	52001	3	23	2147483699	0	0	0	0	3	2147483725	
24	3	52001	3	24	825438797	842216013	858993229	0	0	3	808465229	
25	3	52001	3	25	825569869	0	0	0	0	3	2147483701	
26	3	52001	3	26	2147483725	0	0	0	0	3	2147483701	
27	3	52001	3	27	2147483701	0	0	0	0	3	808465229	
28	3	52001	3	28	808465229	0	0	0	0	3	2147483706	
29	3	52001	3	29	2147483706	0	0	0	0	3	2147483705	
//야수들의숲 메인미션												
30	1	50001	1	30	2147483649	0	0	0	0	1	2147483650	
31	1	50001	1	31	2147483650	0	0	0	0	1	2147483653	
32	1	50001	1	32	826757965	0	0	0	0	1	2147483653	
33	1	50001	1	33	2147483653	0	0	0	0	1	2147483660	
34	1	50001	1	34	843535181	0	0	0	0	1	2147483660	
35	1	50001	1	35	2147483664	0	0	0	0	1	2147483660	
36	1	50001	1	36	2147483663	0	0	0	0	1	2147483660	
37	1	50001	1	37	2147483662	0	0	0	0	1	2147483660	
38	1	50001	1	38	2147483656	0	0	0	0	1	2147483660	
39	1	50001	1	39	2147483657	0	0	0	0	1	2147483660	
40	1	50001	1	40	2147483658	0	0	0	0	1	2147483660	
41	1	50001	1	41	2147483659	0	0	0	0	1	2147483660	
42	1	50001	1	42	2147483660	0	0	0	0	1	2147483661	
43	1	50001	501	43	2147483650	0	0	0	0	501	2147483651	
44	1	50001	501	44	2147483651	0	0	0	0	501	825241680	
45	1	50001	2	45	2147483648	0	0	0	0	2	2147483649	
46	1	50001	2	46	2147483649	0	0	0	0	2	2147483651	
47	1	50001	2	47	2147483651	0	0	0	0	2	2147483652	
48	1	50001	2	48	2147483652	0	0	0	0	2	2147483654	
49	1	50001	2	49	2147483654	0	0	0	0	2	2147483655	
50	1	50001	2	50	2147483655	0	0	0	0	2	2147483657	
51	1	50001	2	51	2147483657	0	0	0	0	2	2147483658	
52	1	50001	2	52	2147483658	0	0	0	0	2	2147483660	
53	1	50001	2	53	2147483660	0	0	0	0	2	2147483661	
54	1	50001	502	54	2147483652	0	0	0	0	502	2147483651	
55	1	50001	502	55	2147483651	0	0	0	0	502	825241680	
56	1	50001	3	56	2147483648	0	0	0	0	3	826757965	
57	1	50001	3	57	826757965	0	0	0	0	3	2147483649	
58	1	50001	3	58	2147483649	0	0	0	0	3	2147483651	
59	1	50001	3	59	2147483651	0	0	0	0	3	2147483653	
60	1	50001	503	60	2147483649	0	0	0	0	503	2147483651	
61	1	50001	503	61	2147483651	0	0	0	0	503	2147483653	
//에텔레인지하수로 메인미션												
62	6	50002	4	62	2147483658	0	0	0	0	4	2147483660	
63	6	50002	4	63	860312397	0	0	0	0	4	2147483660	
64	6	50002	4	64	2147483660	0	0	0	0	4	2147483662	
65	6	50002	4	65	877089613	0	0	0	0	4	2147483665	
66	6	50002	4	66	2147483662	0	0	0	0	4	2147483664	
67	6	50002	4	67	2147483664	0	0	0	0	4	2147483665	
68	6	50002	4	68	2147483665	0	0	0	0	4	2147483668	
//69	6	50002	4	69	877089613	2147483665	0	0	0	4	2147483668	
70	6	50002	4	70	2147483668	0	0	0	0	4	2147483670	
71	6	50002	4	71	2147483670	0	0	0	0	4	2147483671	
72	6	50002	504	72	2147483650	0	0	0	0	504	2147483654	
73	6	50002	504	73	2147483654	0	0	0	0	504	825241680	
74	6	50002	5	74	2147483648	0	0	0	0	5	2147483649	
75	6	50002	5	75	826757965	0	0	0	0	5	2147483649	
76	6	50002	5	76	2147483649	0	0	0	0	5	2147483651	
77	6	50002	5	77	893866829	0	0	0	0	5	2147483656	
78	6	50002	5	78	860312397	0	0	0	0	5	2147483651	
79	6	50002	5	79	2147483651	0	0	0	0	5	2147483656	
80	6	50002	5	80	2147483656	0	0	0	0	5	2147483660	
81	6	50002	5	81	2147483660	0	0	0	0	5	2147483662	
82	6	50002	5	82	2147483662	0	0	0	0	5	2147483663	
83	6	50002	505	83	2147483651	0	0	0	0	505	2147483655	
84	6	50002	505	84	2147483655	0	0	0	0	505	2147483653	
85	6	50002	505	85	2147483653	0	0	0	0	505	2147483654	
86	6	50002	6	86	2147483648	0	0	0	0	6	2147483649	
87	6	50002	6	87	2147483649	0	0	0	0	6	2147483651	
88	6	50002	6	88	2147483651	0	0	0	0	6	2147483652	
89	6	50002	506	89	2147483650	0	0	0	0	506	2147483659	
90	6	50002	506	90	2147483659	0	0	0	0	506	2147483652	
91	6	50002	506	91	2147483652	0	0	0	0	506	2147483654	
//얼어붙은궁전 메인미션												
92	11	50003	7	92	2147483648	0	0	0	0	7	2147483650	
93	11	50003	7	93	808792148	0	0	0	0	7	2147483651	
94	11	50003	7	94	825241677	0	0	0	0	7	2147483650	
