//Version																																																																																																																																																																																	
//몬스터NPC스크립트_Ch																																//**근거리11.522.5					**공격속도입력시주의사항프레임/30*1000+1000																														**어그로확률일반/리더:50중보스/보스:50																																																																																																														
//최초작업자		이정환															//10001~11000:NPC															//**원거리61014					//**달리는속도:357911																									쏘니바인 디버프 Seed 값																																																																																																																			
//최종작업자		강경란															크리티컬 Seed 값																																													1	일반	0																																																																																																																	
//최종수정일자		2009-04-22 11:44															1	일반	3																																											2	정예	10																																																								//아이템드랍율1이면추가아이템드롭발생																																																									
//																	3	리더	5																																											3	리더	5																																																								//드랍확율은총합이10000이하가될것																																																									
//																	2	정예	7																																											4	캡틴	15																																																																		//아이템드랍율1이면추가아이템드롭발생										//아이템드랍율1이면추가아이템드롭발생																																					
//일반																	4	캡틴	9																																											5	보스	20			**스킬입력시스킬사용주기시간값입력필요																																																				//드롭방식선택											//드랍확율은총합이10000이하가될것										//드랍확율은총합이10000이하가될것																																					
//변경후																	5	보스	11																																											9	럭키	50			//어그로확률은AITypeInfo에있음																																																				//0 : 기존에 필드+배틀존 둘다 한번에 설정하는 파라미터 사용																																																										
//1.4	//파서작업에서 잠시 제외_정동일																9	럭키	13																																																																																																				//1 : 신규로 추가 된 필드 따로 배틀존 따로 설정하는 파라미터 사용																														//	퀘스트Drop																											
//파라메타 업데이트 버전 정보						0815-수식추가	904			815																																1.0.0.1	1.0.0.1	0.8.1.9			1.0.0.3																																																																																																									812	812	812	812	812	812	812	812																		
//	몬스터ID	이름	레벨	표시레벨	HP	MP최대치	최대SD	몬스터네임코드	몬스터이미지코드	NPC장비이미지	등급분류(일반/보스)	경험치적용	크기	AI타입	찾기가능여부	일반공격의속성	크리티컬확률	최소공격력	최대공격력	방어력	마법방어	몬스터계열	물저항력	불저항력	바람저항력	대지저항력	공성	회피	공격타입	아머타입	몬스터바디사이즈	공격거리	시야범위	이동거리	걷는속도	달리는속도	공격속도(물리/마법)	공격속도2	공격1발사체	공격2발사체	점프	타격이펙트코드	타격크리이펙트코드	스폰이펙트코드	스폰애니	스폰시간	부활대기시간	적대성향	이동성향	이동영역ID	몬스터상황조건1	몬스터상황조건1수치	특수행동1Type	행동코드파라미터1	특수행동1수치/확률	몬스터상황조건2	몬스터상황조건수치2	특수행동2Type	행동코드파라미터2	특수행동2수치/확률	상태코드입력1	디버프확률1	디버프이펙트코드1	상태코드입력2	디버프확률2	디버프이펙트코드2	어그로확률	스킬조건체크주기시간	부활조건	부활조건파리미터	부활확률	부활종류	부활애니딜레이시간	힐조건	힐조건파라미터	힐확률	힐종류	힐딜레이시간	소환조건	소환조건파라미터	소환확률	소환종류	소환딜레이시간	스킬사용확률	사용스킬id1	스킬사용확률	스킬1딜레이시간	사용스킬id2	스킬사용확률	스킬2딜레이시간	사용스킬id3	스킬사용확률	스킬3딜레이시간	사용스킬id4	스킬사용확률	스킬4딜레이시간	사용스킬id5	스킬사용확률	스킬5딜레이시간	사용스킬id6	스킬사용확률	스킬6딜레이시간	사용스킬id7	스킬사용확률	스킬7딜레이시간	사용스킬id8	스킬사용확률	스킬8딜레이시간	사용스킬id9	스킬사용확률	스킬9딜레이시간	사용스킬id10	스킬사용확률	스킬10딜레이시간	증오스킬	복수스킬	사용확률	소유권	드롭방식선택	배틀존+필드 Drop 설정										필드 Drop 설정										배틀존 Drop 설정										퀘스트ID1	퀘스트Drop1	퀘스트ID2	퀘스트Drop2	퀘스트ID3	퀘스트Drop3	퀘스트ID4	퀘스트Drop4	퀘스트ID5	퀘스트Drop5	AC코드	AC참조방식	특수옵션ID1	옵션1파라미터	특수옵션ID2	옵션2파라미터												
	MonsterCode	Name	Level	DisplayLevel	MaxHP	MaxMP	MaxSD	NCode	ICode	NPCImageIndex	Grade	GradeExpRatio	Size	AICode	FindNPC	AttType	CriticalRatio	MinAttackPower	MaxAttackPower	PhyDef	MagicDef	Class	WaterResist	FireResist	WindResist	EarthResist	PhyAttRate	PhyAttAvoid	MeleeType	ArmorType	BodyRadius	AttRange	ViewRange	MoveRange	WalkSpeed	RunSpeed	AttSpeed	AttSpeed2	ProjectileCode	ProjectileCode2	JumpRatio	AttackEffectCode	AttackCriticalEffectCode	SpawnEffectCode	SpawnAniCode	SpawnAniTime	DeadWaitingTime	Attitude	MoveAttitude	MoveAreaID	MonsterCondition1	MonsterConditionParam1	ActionType1	ActionParam1	ActionRate1	MonsterCondition2	MonsterConditionParam2	ActionType2	ActionParam2	ActionRate2	StateCode1	ConditionRatio1	ConditionEffectCode1	StateCode2	ConditionRatio2	ConditionEffectCode2	ChangeTargetRatio	SkillUpdateTime	ReviveCondition	ReviveConditionParam	ReviveRate	ReviveCode	ReviveDelay	HealCondition	HealConditionParam	HealRate	HealCode	HealDelay	SummonCondition	SummonConditionParam	SummonRate	SummonCode	SummonDelay	SkillUsePossible	SkillCode1	SkillRate1	SkillDelay1	SkillCode2	SkillRate2	SkillDelay2	SkillCode3	SkillRate3	SkillDelay3	SkillCode4	SkillRate4	SkillDelay4	SkillCode5	SkillRate5	SkillDelay5	SkillCode6	SkillRate6	SkillDelay6	SkillCode7	SkillRate7	SkillDelay7	SkillCode8	SkillRate8	SkillDelay8	SkillCode9	SkillRate9	SkillDelay9	SkillCode10	SkillRate10	SkillDelay10	HateSkill	RevengeSkill	RevengeRate	DropOwnership	Region	DropIndex1	DropIndex2	DropIndex3	DropIndex4	DropIndex5	DropIndex6	DropIndex7	DropIndex8	DropIndex9	DropIndex10	FieldDropIndex1	FieldDropIndex2	FieldDropIndex3	FieldDropIndex4	FieldDropIndex5	FieldDropIndex6	FieldDropIndex7	FieldDropIndex8	FieldDropIndex9	FieldDropIndex10	BattleDropIndex1	BattleDropIndex2	BattleDropIndex3	BattleDropIndex4	BattleDropIndex5	BattleDropIndex6	BattleDropIndex7	BattleDropIndex8	BattleDropIndex9	BattleDropIndex10	QuestCode1	QuestDropIndex1	QuestCode2	QuestDropIndex2	QuestCode3	QuestDropIndex3	QuestCode4	QuestDropIndex4	QuestCode5	QuestDropIndex5	ACCode	ACReferenceID	OptionID1	OptionParam1	OptionID2	OptionParam2	DEST	ACT1	P1	ACT2	P2	ACT3	P3	ACT4	P4	ACT5	P5	FieldEnd
	1	검은숲보초병1	1	1	81	65	0	19011	40133	0	1	1.1	50	1	0	1	3	2	2	6	5	8	0	0	0	0	158	5	2	1	0.8	1.5	13	1	1.38	3	2167	2333	0	0	20	0	0	0	zzzz	0	20000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	0	0	NULL	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	1	0	0	0	0	0	0	0	0	0	0	100000	75001	0	0	0	20086	0	11001	80001	0	60001	70001	0	0	0	20086	0	11001	80001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	2	검은숲보초병1	1	2	105	84	0	19011	40133	0	1	1.1	50	1	0	1	3	4	5	12	11	8	0	0	0	0	166	7	2	1	0.8	1.5	13	1	1.38	3	2167	2333	0	0	20	0	0	0	zzzz	0	20000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	0	0	NULL	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	1	0	0	0	0	0	0	0	0	0	0	60002	75002	0	0	0	20086	0	11001	80002	0	60002	70002	0	0	0	20086	0	11001	80002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	3	검은숲보초병1	2	3	128	102	0	19011	40133	0	1	1.1	50	1	0	1	3	6	8	18	17	8	0	0	0	0	174	9	2	1	0.8	1.5	13	1	1.38	3	2167	2333	0	0	20	0	0	0	zzzz	0	20000	1	0	0	0	0	0	0	0	0	0	0	0	0	219	1	K680	0	0	NULL	50	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	1	0	0	0	0	0	0	0	0	0	0	60003	75003	0	0	0	20086	0	11001	80003	0	60003	70003	0	0	0	20086	0	11001	80003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	4	검은숲보초병1	2	4	152	122	0	19011	40133	0	1	1.1	50	1	0	1	3	8	9	24	22	8	0	0	0	0	182	11	2	1	0.8	1.5	13	1	1.38	3	2167	2333	0	0	20	0	0	0	zzzz	0	20000	1	0	0	0	0	0	0	0	0	0	0	0	0	219	1	K680	0	0	NULL	50	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	1	0	0	0	0	0	0	0	0	0	0	60004	75004	0	0	0	20086	0	11001	80004	0	60004	70004	0	0	0	20086	0	11001	80004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	5	검은숲보초병1	3	5	175	140	0	19011	40133	0	1	1.1	50	1	0	1	4	9	12	30	27	8	0	0	0	0	190	13	2	1	0.8	1.5	13	1	1.38	3	2167	2333	0	0	20	0	0	0	zzzz	0	20000	1	0	0	0	0	0	0	0	0	0	0	0	0	219	2	K680	0	0	NULL	50	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	1	0	0	0	0	0	0	0	0	0	0	60005	75005	0	0	0	20086	0	11001	80005	0	60005	70005	0	0	0	20086	0	11001	80005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	6	야수보초병1	1	1	54	43	0	19003	40111	0	1	1.1	70	1	0	1	3	1	1	6	5	8	0	0	0	0	158	5	2	2	0.8	2	10	1	1.25	9	2067	1900	0	0	0	0	0	0	zzzz	0	20000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	0	0	NULL	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	1	0	0	0	0	0	0	0	0	0	0	60001	75001	0	0	0	20086	0	11001	80001	0	60001	70001	0	0	0	20086	0	11001	80001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	7	야수보초병2	1	2	69	55	0	19003	40111	0	1	1.1	70	1	0	1	3	2	3	12	11	8	0	0	0	0	166	7	2	2	0.8	2	10	1	1.25	9	2067	1900	0	0	0	0	0	0	zzzz	0	20000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	0	0	NULL	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	1	0	0	0	0	0	0	0	0	0	0	60002	75002	0	0	0	20086	0	11001	80002	0	60002	70002	0	0	0	20086	0	11001	80002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	8	야수보초병3	2	3	84	67	0	19003	40111	0	1	1.1	70	1	0	1	3	4	5	18	17	8	0	0	0	0	174	9	2	2	0.8	2	10	1	1.25	9	2067	1900	0	0	0	0	0	0	zzzz	0	20000	1	0	0	0	0	0	0	0	0	0	0	0	0	219	1	K680	0	0	NULL	50	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	1	0	0	0	0	0	0	0	0	0	0	60003	75003	0	0	0	20086	0	11001	80003	0	60003	70003	0	0	0	20086	0	11001	80003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	9	야수보초병4	2	4	99	79	0	19003	40111	0	1	1.1	70	1	0	1	3	5	7	24	22	8	0	0	0	0	182	11	2	2	0.8	2	10	1	1.25	9	2067	1900	0	0	0	0	0	0	zzzz	0	20000	1	0	0	0	0	0	0	0	0	0	0	0	0	219	1	K680	0	0	NULL	50	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	1	0	0	0	0	0	0	0	0	0	0	60004	75004	0	0	0	20086	0	11001	80004	0	60004	70004	0	0	0	20086	0	11001	80004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	10	야수보초병5	3	5	115	92	0	19003	40111	0	1	1.1	70	1	0	1	4	7	9	30	27	8	0	0	0	0	190	13	2	2	0.8	2	10	1	1.25	9	2067	1900	0	0	0	0	0	0	zzzz	0	20000	1	0	0	0	0	0	0	0	0	0	0	0	0	219	2	K680	0	0	NULL	50	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	1	0	0	0	0	0	0	0	0	0	0	60005	75005	0	0	0	20086	0	11001	80005	0	60005	70005	0	0	0	20086	0	11001	80005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
