//신규캐릭터아이템지급정보						
//최초작성자:강경란(08-04-15)						
//수정자:		강경란				
//수정일:		오전 10:37 2008-12-11				
//Version 1.0.0.5						
//	1					
//	클래스아이디	아이템코드	아이템지급개수	아이템사용시간_분	스타일스킬아이디	
	ClassID	ItemCode	ItemSupplyNum	ItemUseTime	StyleSkillID	FieldEnd
	1	1	10000	0	60000	
	1	16	10000	0	60000	
	1	65010	1	1440	60000	
	1	65012	1	1440	60000	
	1	65013	20	0	60000	
	1	65014	5	0	60000	
	1	65023	20	0	60000	
	2	31	10000	0	60199	
	2	46	10000	0	60199	
	2	65010	1	1440	60199	
	2	65012	1	1440	60199	
	2	65013	20	0	60199	
	2	65014	5	0	60199	
	2	65023	20	0	60199	
	3	61	10000	0	60400	
	3	76	10000	0	60400	
	3	65010	1	1440	60400	
	3	65012	1	1440	60400	
	3	65013	20	0	60400	
	3	65014	5	0	60400	
	3	65023	20	0	60400	
	4	91	10000	0	60600	
	4	106	10000	0	60600	
	4	65010	1	1440	60600	
	4	65012	1	1440	60600	
	4	65013	20	0	60600	
	4	65014	5	0	60600	
	4	65023	20	0	60600	
	5	137	10000	0	60800	
	5	152	10000	0	60800	
	5	65010	1	1440	60800	
	5	65012	1	1440	60800	
	5	65013	20	0	60800	
	5	65014	5	0	60800	
	5	65023	20	0	60800	
