	//Version	0.0.0.5				0.8.1.9																0.8.1.9																																																																							0.9.0.4	0.9.0.4		0.9.0.4	0.9.0.4		0.9.0.4	0.9.0.4		0.9.0.4	0.9.0.4		0.9.0.4	0.9.0.4												0.9.0.4	0.9.0.4	0.9.0.4	0.9.0.2	0.8.1.9			815	815	815	815						0.9.0.4	0.9.0.4	0.9.0.4	
	//2.2	//basicinfo												ownerinfo			AcquireCondition																																				AcquireAction								CompleteCondition																																																														CompleteAction	RewardInfo					TextInfo								
	QuestCode	QuestName	Qtype	QNCode	QLevel	QDisplay	ParentQuestCode	QuestAcceptType	ACCode	ACType	QImgCode	QGroupCode	ContinueQuestCode	NPCCodeStart	NPCCodeReward	NPCCodeRewardLocate	ACMaxRepeatNum	ACReqMinCharLV	ACReqMaxCharLV	ACReqCharClassBit	ACReqChaoState	ACReqNpcDialog	ACReqMissionCode1	ACReqMissionNum1	ACReqMissionCode2	ACReqMissionNum2	ACReqProgQuestCode1	ACReqProgQuestCode2	ACReqProgQuestCode3	ACReqProgOperator	ACReqEndQuestCode1	ACReqEndQuestCode2	ACReqEndQuestCode3	ACReqEndQuestNum1	ACReqEndQuestNum2	ACReqEndQuestNum3	ACReqEndQuestOperator	ACReqItemCode1	ACReqItemCode2	ACReqItemCode3	ACReqItemNum1	ACReqItemNum2	ACReqItemNum3	ACResEndQuestCode1	ACResEndQuestCode2	ACResEndQuestCode3	ACResEndQuestNum1	ACResEndQuestNum2	ACResEndQuestNum3	ACResEndQuestOperator	ACResItemCode	ACResItemClass	AAReqItemDelete	AAGiveItemCode1	AAGiveItemCode2	AAGiveItemCode3	AAGiveItemNum1	AAGiveItemNum2	AAGiveItemNum3	AAGiveExpiredTime	CCReqCharLV	CCReqHiem	CCReqMissionCode1	CCReqMissionNum1	CCReqMissionCode2	CCReqMissionNum2	CCReqTrigger1	CCReqTrigger2	CCReqTrigger3	CCReqTrigger4	CCReqEndQuestCode1	CCReqEndQuestCode2	CCReqEndQuestCode3	CCReqEndQuestCode4	CCReqEndQuestCode5	CCReqEndQuestNum1	CCReqEndQuestNum2	CCReqEndQuestNum3	CCReqEndQuestNum4	CCReqEndQuestNum5	CCReqItemCode1	CCReqItemCode2	CCReqItemCode3	CCReqItemCode4	CCReqItemCode5	CCReqItemNum1	CCReqItemNum2	CCReqItemNum3	CCReqItemNum4	CCReqItemNum5	CCReqItemDelete	CCKillMonster1	CCKillSetMonsterGrade1	CCKillSetMonsterLevel1	CCKillMonster2	CCKillSetMonsterGrade2	CCKillSetMonsterLevel2	CCKillMonster3	CCKillSetMonsterGrade3	CCKillSetMonsterLevel3	CCKillMonster4	CCKillSetMonsterGrade4	CCKillSetMonsterLevel4	CCKillMonster5	CCKillSetMonsterGrade5	CCKillSetMonsterLevel5	CCKillMonsterLocate1	CCKillMonsterLocate2	CCKillMonsterLocate3	CCKillMonsterLocate4	CCKillMonsterLocate5	CCKillMonsterNum1	CCKillMonsterNum2	CCKillMonsterNum3	CCKillMonsterNum4	CCKillMonsterNum5	CCAreaCode	CCAreaSearchID1	CCAreaSearchID2	CCAreaSearchID3	MapPortalCode	SummonMonsterCode	CAShowTextMsgCode	RIRewardCode1	RIRewardCode2	RIRewardCode3	RIRewardCode4	RIRewardCode5	TISCodeStart	TISCodeProgr1	TISCodeProgr2	TISCodeCompl	TISCodeBrief	TISMissionText1	TISMissionText2	TISMissionText3	FieldEnd
	//2	3	3	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	
	//Q코드	Q설명	Q타입	Q이름	Q레벨	퀘스트디스플레이	부모퀘스트	퀘스트지급타입	AC코드	AC타입	Q이미지코드	Q그룹코드	연계Q코드	시작NPC코드	완료NPC코드	완료NPC위치	최대반복횟수	습득최소레벨	습득최대레벨	습득캐릭터	습득카오상태	습득npc대화시상태설정	습득시필요미션코드1	습득시필요미션완료횟수1	습득시필요미션코드2	습득시필요미션완료횟수2	습득진행Q코드1	습득진행Q코드2	습득진행Q코드3	습득진행Q연산자	습득완료Q코드1	습득완료Q코드2	습득완료Q코드3	습득Q완료횟수1	습득Q완료횟수2	습득Q완료횟수3	습득완료Q연산자	습득필요아이템1	습득필요아이템2	습득필요아이템3	습득필요아이템수1	습득필요아이템수2	습득필요아이템수3	습득제한Q코드1	습득제한Q코드2	습득제한Q코드3	습득제한Q완료횟수1	습득제한Q완료횟수2	습득제한Q완료횟수3	습득제한Q연산자	습득제한아이템코드	습득제한아이템클래스	습득필요아이템삭제	부여아이템1	부여아이템2	부여아이템3	부여아이템수1	부여아이템수2	부여아이템수3	부여제한시간	요구케릭터레벨	요구하임	완료시필요미션코드1	완료시필요미션완료횟수1	완료시필요미션코드2	완료시필요미션완료횟수2	필요트리거조건1	필요트리거조건2	필요트리거조건3	필요트리거조건4	요구완료퀘스트1	요구완료퀘스트2	요구완료퀘스트3	요구완료퀘스트4	요구완료퀘스트5	요구퀘스트완료횟수1	요구퀘스트완료횟수2	요구퀘스트완료횟수3	요구퀘스트완료횟수4	요구퀘스트완료횟수5	요구아이템1	요구아이템2	요구아이템3	요구아이템4	요구아이템5	요구아이템수1	요구아이템수2	요구아이템수3	요구아이템수4	요구아이템수5	요구아이템삭제	요구몬스터Kill1	요구몬스터등급1	요구몬스터레벨1	요구몬스터Kill2	요구몬스터등급2	요구몬스터레벨2	요구몬스터Kill3	요구몬스터등급3	요구몬스터레벨3	요구몬스터Kill4	요구몬스터등급4	요구몬스터레벨4	요구몬스터Kill5	요구몬스터등급5	요구몬스터레벨5	요구몬스터Kill위치1	요구몬스터Kill위치2	요구몬스터Kill위치3	요구몬스터Kill위치4	요구몬스터Kill위치5	요구몬스터Kill수1	요구몬스터Kill수2	요구몬스터Kill수3	요구몬스터Kill수4	요구몬스터Kill수5	필요영역	탐색영역1	탐색영역2	탐색영역3	맵포탈코드	소환몬스터	퀘스트완료시보여질메시지	보상스크립트코드(버서커)	보상스크립트코드(드래곤)	보상스크립트코드(섀도우)	보상스크립트코드(발키리)	보상스크립트코드_엘리	시작대사코드	진행_시작대사코드	진행_끝대사코드	끝대사코드	요약정보코드	탐색퀘스트임무1	탐색퀘스트임무2	탐색퀘스트임무3	
	//이벤트구간_1199까지입니다_																																																																																												0	0		0	0		0	0		0	0		0	0																															
	//중국단오절용선경기를위한아이템모집이벤트		0						0	0						0																																																																													0	0		0	0		0	0		0	0		0	0	0	0	0	0	0										0																
	//1009	용선경기를위한아이템모집(야수의숲)	0	400272	1	1	0	0	0	0	0	9131	0	65098	65098	0	100	1	135	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6715	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3026	3026	3026	3026	3026	350004	350009	0	210072	210073	0	0	0	
	//1010	용선경기를위한아이템모집(에텔레인지하수로)	0	400273	1	1	0	0	0	0	0	9131	0	65099	65099	0	100	1	135	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6717	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3027	3027	3027	3027	3027	350005	350009	0	210072	210074	0	0	0	
	//1011	용선경기를위한아이템모집(얼어붙은궁전)	0	400274	1	1	0	0	0	0	0	9131	0	65100	65100	0	100	1	135	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6719	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3028	3028	3028	3028	3028	350006	350009	0	210072	210075	0	0	0	
	//1012	용선경기를위한아이템모집(용족의계곡)	0	400275	1	1	0	0	0	0	0	9131	0	65101	65101	0	100	1	135	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6721	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3029	3029	3029	3029	3029	350007	350009	0	210072	210076	0	0	0	
