//최종수정자:김태현		행	13	1120					//	헌팅은몬스터타입1			///5분확률:0.025																																																																																																																																																																																																																																																		
//	최초작성일2005년4월42일	열	1	28					//	필드는몬스터타입2			//리젠타임		12000																																																																																																																																																																																																																																																
//	최종수정일:	2009-05-28																																																																																																																																																																																																																																																													
//Version	0.0.0.1																																																																																																																																																																																																																																																														
//		필드시작/끝	710	4220																																																																																																																																																																																																																																																											
//																																																																																																																																																																																																																																																															
//																																																																																																																																																																																																																																																															
//	//몬스터스프레딩스크립트																																																																																																																																																																																																																																																														
//					//좌표계번호가9900인경우해당맵에서랜덤하게등장하는몬스터이다.																			*파라미터추가!!!!!여기부터~																																																																																																																																																																																																																																							
//	//번호	필드의설명	맵번호	세부맵번호	좌표계번호	배치몬스터타입	리젠우선순위	영역속성	리젠타임	리젠확률	그룹ID1	그룹ID2	그룹ID3	몬스터1코드	몬스터당최대	몬스터2코드	몬스터당최대	몬스터3코드	몬스터당최대	몬스터4코드	몬스터당최대	몬스터5코드	몬스터당최대	몬스터6코드	몬스터당최대	몬스터7코드	몬스터당최대																																																																																																																																																																																																																																				
	Num	Desc	Mapcode	FieldIndex	LocationID	MonType	bAllRegen	byMoveAttitude	dRegenTime	fRegenRate	GroupID1	GroupID2	GroupID3	MonCode1	MaxRegenLimit1	MonCode2	MaxRegenLimit2	MonCode3	MaxRegenLimit3	MonCode4	MaxRegenLimit4	MonCode5	MaxRegenLimit5	MonCode6	MaxRegenLimit6	MonCode7	MaxRegenLimit7	FieldEnd																																																																																																																																																																																																																																			
//	필드부분.맵번호World.txt에서참고할것																																																																																																																																																																																																																																																														
//	10001 	자피르호수	20004	20004	1001	2	0	0	25000	1	0	0	0	1	4	1	4	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10002 	자피르호수	20004	20004	1002	2	0	0	35000	1	0	0	0	2	4	2	3	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10003 	자피르호수	20004	20004	1003	2	0	0	25000	1	0	0	0	1	4	1	4	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10004 	자피르호수	20004	20004	1004	2	0	0	25000	1	0	0	0	6	3	6	3	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10005 	자피르호수	20004	20004	1005	2	0	0	25000	1	0	0	0	6	3	6	3	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10007 	자피르호수	20004	20004	1007	2	0	0	25000	1	0	0	0	1	4	1	4	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10008 	자피르호수	20004	20004	1008	2	0	0	25000	1	0	0	0	1	4	1	4	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10009 	자피르호수	20004	20004	1009	2	0	0	35000	1	0	0	0	2	3	2	3	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10010 	자피르호수	20004	20004	1010	2	0	0	25000	1	0	0	0	1	4	1	4	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10011 	자피르호수	20004	20004	1011	2	0	0	25000	1	0	0	0	1	4	1	4	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10012 	자피르호수	20004	20004	1012	2	0	0	25000	1	0	0	0	1	4	1	4	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10013 	자피르호수	20004	20004	1013	2	0	0	35000	1	0	0	0	2	3	2	3	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10014 	자피르호수	20004	20004	1014	2	0	0	25000	1	0	0	0	1	4	1	4	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10015 	자피르호수	20004	20004	1015	2	0	0	25000	1	0	0	0	1	4	1	4	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10016 	자피르호수	20004	20004	1016	2	0	0	55000	1	0	0	0	3	3	3	3	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10017 	자피르호수	20004	20004	1017	2	0	0	55000	1	0	0	0	3	3	3	3	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10018 	자피르호수	20004	20004	1018	2	0	0	55000	1	0	0	0	3	3	3	3	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10019 	자피르호수	20004	20004	1024	2	0	0	55000	1	0	0	0	3	3	3	3	8	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10020 	자피르호수	20004	20004	1019	2	0	0	55000	1	0	0	0	3	3	3	3	8	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10021 	자피르호수	20004	20004	4001	2	0	0	25000	1	0	0	0	6	5	6	4	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10022 	자피르호수	20004	20004	4002	2	0	0	25000	1	0	0	0	6	5	6	4	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10023 	자피르호수	20004	20004	4003	2	0	0	55000	1	0	0	0	8	4	8	3	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10024 	자피르호수	20004	20004	4004	2	0	0	35000	1	0	0	0	2	4	2	3	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10025 	자피르호수	20004	20004	4005	2	0	0	25000	1	0	0	0	1	4	1	3	7	2	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10026 	자피르호수	20004	20004	4006	2	0	0	35000	1	0	0	0	2	4	2	3	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10027 	자피르호수	20004	20004	4007	2	0	0	25000	1	0	0	0	6	4	6	4	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10028 	자피르호수	20004	20004	4008	2	0	0	35000	1	0	0	0	7	4	7	3	7	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10030 	자피르호수	20004	20004	4010	2	0	0	55000	1	0	0	0	8	4	8	3	8	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10031 	자피르호수	20004	20004	4011	2	0	0	25000	1	0	0	0	1	3	1	3	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10032 	자피르호수	20004	20004	1020	2	0	0	55000	1	0	0	0	3	3	3	3	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10033 	자피르호수	20004	20004	1021	2	0	0	55000	1	0	0	0	3	3	3	4	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10034 	자피르호수	20004	20004	1022	2	0	0	55000	1	0	0	0	3	3	3	2	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10035 	자피르호수	20004	20004	1023	2	0	0	55000	1	0	0	0	3	3	3	2	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10036 	자피르호수	20004	20004	1025	2	0	0	35000	1	0	0	0	2	3	2	2	11	2	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10037 	자피르호수	20004	20004	1026	2	0	0	35000	1	0	0	0	2	3	2	2	11	2	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10038 	자피르호수	20004	20004	1027	2	0	0	35000	1	0	0	0	2	3	2	2	11	2	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10039 	자피르호수	20004	20004	1028	2	0	0	35000	1	0	0	0	2	3	2	2	11	2	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10040 	자피르호수	20004	20004	1029	2	0	0	35000	1	0	0	0	2	3	2	2	11	2	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10041 	자피르호수	20004	20004	1030	2	0	0	55000	1	0	0	0	8	3	8	2	11	2	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10042 	자피르호수	20004	20004	1031	2	0	0	35000	1	0	0	0	7	2	7	2	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10043 	자피르호수	20004	20004	1032	2	0	0	35000	1	0	0	0	7	3	7	4	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10044 	자피르호수	20004	20004	1033	2	0	0	35000	1	0	0	0	8	3	8	2	11	2	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10045 	자피르호수	20004	20004	1034	2	0	0	35000	1	0	0	0	7	3	7	4	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10046 	자피르호수	20004	20004	1035	2	0	0	55000	1	0	0	0	8	3	8	2	11	2	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10047 	자피르호수	20004	20004	1036	2	0	0	55000	1	0	0	0	8	3	8	2	11	2	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10048 	자피르호수	20004	20004	1037	2	0	0	55000	1	0	0	0	8	3	8	2	11	2	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10049 	자피르호수	20004	20004	1038	2	0	0	55000	1	0	0	0	8	3	8	2	11	2	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10050 	자피르호수	20004	20004	1039	2	0	0	55000	1	0	0	0	8	3	8	2	11	2	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10051 	자피르호수	20004	20004	1040	2	0	0	55000	1	0	0	0	8	3	8	2	11	2	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10052 	자피르호수	20004	20004	1041	2	0	0	35000	1	0	0	0	4	2	9	2	7012	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10053 	자피르호수	20004	20004	1042	2	0	0	55000	1	0	0	0	8	3	8	2	11	2	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10054 	자피르호수	20004	20004	1043	2	0	0	35000	1	0	0	0	4	2	9	2	7012	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10055 	자피르호수	20004	20004	1044	2	0	0	55000	1	0	0	0	8	3	8	4	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10056 	자피르호수	20004	20004	1045	2	0	0	120000	1	0	0	0	4	2	9	2	7012	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10057 	자피르호수	20004	20004	1046	2	0	0	180000	1	0	0	0	4	2	9	2	7012	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10058 	자피르호수	20004	20004	1047	2	0	0	60000	1	0	0	0	40005	4	9	1	7012	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10059 	자피르호수	20004	20004	1048	2	0	0	90000	1	0	0	0	4	1	40005	4	7012	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10060 	자피르호수	20004	20004	1049	2	0	0	60000	1	0	0	0	40005	2	9	2	7012	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10061 	자피르호수	20004	20004	1050	2	0	0	90000	1	0	0	0	40005	2	9	2	7013	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10062 	자피르호수	20004	20004	1051	2	0	0	120000	1	0	0	0	4	2	9	2	7012	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10064 	자피르호수	20004	20004	1053	2	0	0	60000	1	0	0	0	4	1	40005	4	7012	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10065 	자피르호수	20004	20004	1054	2	0	0	90000	1	0	0	0	40005	4	13	1	7016	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10066 	자피르호수	20004	20004	1055	2	0	0	180000	1	0	0	0	10	2	13	2	7016	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10068 	자피르호수	20004	20004	1057	2	0	0	60000	1	0	0	0	40005	3	9	1	7012	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10069 	자피르호수	20004	20004	1058	2	0	0	240000	1	0	0	0	4	2	9	2	7012	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10070 	자피르호수	20004	20004	1059	2	0	0	60000	1	0	0	0	10	1	40005	4	7016	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10071 	자피르호수	20004	20004	1060	2	0	0	180000	1	0	0	0	10	2	13	2	7016	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
