//2																					
//	Version	0.0.1.4	11111111		11111111					11111111											
//	중국_Ch	09-4-22 오후 9:38	"보상 스크립트에서 선택 보상을 랜덤 방식, 즉 DropRatioInfo 스크립트에서 참조할 경우, 돈과 관련된 값(Money1,Money2 …)은 반드시 0 으로 설정하여야 한다."																		
//		매크로 사용법은 Ctrl+Shift+A 키 입니다.																			
//	기본 정보			고정 보상		1002					선택 보상										
//	인덱스	설명	설명코드	경험치	하임	코인	카오감소시간	고정아템	타입	스킬ID	참조방식	선택 개수	선택아템1	아이템타입1	선택아템2	아이템타입2	선택아템3	아이템타입3	선택아템4	아이템타입4	
	Index	Description	DescriptionCode	Exp	Hime	Coin	ChaoTime	Fixed_IC	IGtype	Skill	ReferenceType	Select_Num	Sel_IC1	IGtype1	Sel_IC2	IGtype2	Sel_IC3	IGtype3	Sel_IC4	IGtype4	FieldEnd
//	야수들의숲 미션 보상																				
	50001	메인_야수들의숲_클리어1_버서커	50301	5175	20000	0	0	0	0	0	0	1	1052	10006	11052	10006	21052	10006	31052	10006	
	50002	메인_야수들의숲_클리어1_드래곤	50301	5175	20000	0	0	0	0	0	0	1	1062	10006	11062	10006	21062	10006	31062	10006	
	50003	메인_야수들의숲_클리어1_발키리	50301	5175	20000	0	0	0	0	0	0	1	1082	10006	11082	10006	21082	10006	31082	10006	
	50004	메인_야수들의숲_클리어1_엘리	50301	5175	20000	0	0	0	0	0	0	1	1092	10006	11092	10006	21092	10006	31092	10006	
	50005	메인_야수들의숲_클리어1_쉐도우	50301	5175	20000	0	0	0	0	0	0	1	1072	10006	11072	10006	21072	10006	31072	10006	
	50011	메인_야수들의숲_클리어2	50302	2756	4600	0	0	0	0	0	3	0	31001	0	0	0	0	0	0	0	
	50021	메인_야수들의숲_클리어3	50302	1838	0	0	0	0	0	0	3	0	31001	0	0	0	0	0	0	0	
	50101	서브_야수들의숲_1_클리어1_버서커	50303	1688	2600	0	0	0	0	0	0	1	1351	10004	11351	10004	21351	10004	31351	10004	
	50102	서브_야수들의숲_1_클리어1_드래곤	50303	1688	2600	0	0	0	0	0	0	1	1361	10004	11361	10004	21361	10004	31361	10004	
	50103	서브_야수들의숲_1_클리어1_발키리	50303	1688	2600	0	0	0	0	0	0	1	1381	10004	11381	10004	21381	10004	31381	10004	
	50104	서브_야수들의숲_1_클리어1_엘리	50303	1688	2600	0	0	0	0	0	0	1	1391	10004	11391	10004	21391	10004	31391	10004	
	50105	서브_야수들의숲_1_클리어1_쉐도우	50303	1688	2600	0	0	0	0	0	0	1	1371	10004	11371	10004	21371	10004	31371	10004	
	50111	서브_야수들의숲_1_클리어2	50304	900	590	0	0	0	0	0	3	0	31101	0	0	0	0	0	0	0	
	50121	서브_야수들의숲_1_클리어3	50304	600	0	0	0	0	0	0	3	0	31101	0	0	0	0	0	0	0	
	50201	서브_야수들의숲_2_클리어1_버서커	50313	2475	3800	0	0	0	0	0	0	1	1151	10004	11151	10004	21151	10004	31151	10004	
	50202	서브_야수들의숲_2_클리어1_드래곤	50313	2475	3800	0	0	0	0	0	0	1	1161	10004	11161	10004	21161	10004	31161	10004	
