//최초작성자:지원길																																																											
//최종수정자:정동일																																																											
//Version	1.0.0.2																									528 	700 																																
//PC스타일파라미터																										533 	533 																																
//	오후 3:47 2008-07-01																									500 	567 																																
//																																																											
//1.1																																																											
//																																										814																	
//스킬ID	스킬종류ID	스타일이름	네임코드	스타일설명코드	스타일종류	이미지코드	요구레벨	스타일레벨	최고레벨	오버가능레벨	오버스탯1종류	오버스탯1요구치/스타일요구스탯	오버스탯1종류	오버스탯2요구치/스타일요구스탯	요구스킬포인트	클래스제한	무기제한1	공격타입	사정거리	이동공격여부	스타일여부	1타코드	2타코드	3타코드	복귀코드	1타시간	2타시간	3타시간	1타추가데미지	1타추가데미지%	2타추가데미지	2타추가데미지%	3타추가데미지	3타추가데미지%	3타범위형태	3타범위	3타발동시간	공격성공증가	블록성공증가	공격속도증가	방어력증가	마법방어력증가	크리티컬보너스	3타방어력무시확률	3타관통발생확률	3타관통거리	3타스턴발생확률	3타스턴시간	3타녹백발생확률	3타녹백거리	3타다운발생확률	딜레이발생확률감소	3타딜레이발생확률	HP흡수	HP%흡수	MP흡수	MP%흡수	최대마리적용수	
StyleCode	StyleClassCode	StyleName	StyleNCode	StyleDescCode	SkillAttribute	StyleImage	RequireLV	StyleLV	MaxLV	OverLV	OverStat1Class	OverStat1	OverStat2Class	OverStat2	RequireSkillPoint	ClassDefine	WeaponDefine	AttType	AttRange	MoveAttack	StyleCheck	CodeFirst	CodeSecond	CodeThird	CodeBack	TimeFirst	TimeSecond	TimeThird	AddDamage1	DamagePercent1	AddDamage2	DamagePercent2	AddDamage3	DamagePercent3	AttRangeform	StyleArea	ThirdDelay	AttackRate	AvoidRate	AttSpeedIncrease	DefenceAdd	MagicDefenceAdd	CriticalBonus	DefenceIgnore	PierceRate	PierceRange	StunRate	StunTime	KnockBackRate	KnockBackRange	DownRate	DelayReduce	DelayOccur	HPAbsorb	HPAbsorbPer	MPAbsorb	MPAbsorbPer	MaxTargetNo	FieldEnd
60000	60000	주먹질	25154	0	0	0	0	0	0	0	0	0	0	0	0	1	13	3	2.5 	1 	0 	A001	A002	zzzz	zzzz	667 	667 	0 	0	0.00 	0	0.00 	0	0.00 	0	0	0	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60001	60001	디펜더노멀	25100	28100	409	35100	0	0	0	0	0	0	0	0	0	1	2	2	2.5 	1 	0 	A201	A203	zzzz	zzzz	667 	667 	0 	0	0.00 	0	0.00 	0	0.00 	0	0	0	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60011	60011	발터의디펜스	25101	28101	409	35101	1	1	10	0	0	0	0	0	0	1	2	2	2.5 	1 	1 	S201	S203	S205	S206	733 	767 	833 	0	0.00 	0	0.00 	0	0.00 	2	1.5	0.47	0	0	2 	10	20	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60012	60011	발터의디펜스	25101	28101	409	35101	10	2	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S201	S203	S205	S206	733 	767 	833 	0	0.00 	0	0.00 	0	0.00 	2	1.5	0.47	0	0	4 	20	40	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60013	60011	발터의디펜스	25101	28101	409	35101	20	3	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S201	S203	S205	S206	733 	767 	833 	0	0.00 	0	0.00 	0	0.00 	2	1.5	0.47	0	0	6 	30	60	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60014	60011	발터의디펜스	25101	28101	409	35101	30	4	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S201	S203	S205	S206	733 	767 	833 	0	0.00 	0	0.00 	0	0.00 	2	1.5	0.47	0	0	8 	40	80	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60015	60011	발터의디펜스	25101	28101	409	35101	40	5	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S201	S203	S205	S206	733 	767 	833 	0	0.00 	0	0.00 	0	0.00 	2	1.5	0.47	0	0	10 	50	100	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60016	60011	발터의디펜스	25101	28101	409	35101	50	6	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S201	S203	S205	S206	733 	767 	833 	0	0.00 	0	0.00 	0	0.00 	2	1.5	0.47	0	0	12 	60	120	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60017	60011	발터의디펜스	25101	28101	409	35101	60	7	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S201	S203	S205	S206	733 	767 	833 	0	0.00 	0	0.00 	0	0.00 	2	1.5	0.47	0	0	14 	70	140	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60018	60011	발터의디펜스	25101	28101	409	35101	70	8	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S201	S203	S205	S206	733 	767 	833 	0	0.00 	0	0.00 	0	0.00 	2	1.5	0.47	0	0	16 	80	160	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
